指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
科创创业50,26.21,6.07,3.8,4.7,1.16,94.23,931643.CSI,2021-06-01,2024-02-27
湾创100,14.39,6.1,1.95,10.92,2.41,95.33,980001.CNI,2019-04-09,2024-02-26
俄罗斯RTS,4.37,6.15,0.77,28.1,10.54,98.78,RTS.GI,1899-12-30,2022-11-25
中证军工,50.58,6.61,2.61,17.13,0.56,96.8,399967.SZ,2013-12-26,2024-02-27
380成长,13.59,6.68,2.4,19.14,2.77,96.66,000117.SH,2011-10-18,2024-02-27
德国DAX,12.5,6.8,1.55,21.95,3.06,61.17,GDAXI.GI,1988-01-01,2024-02-26
英国富时100,11.8,6.98,1.63,21.38,3.52,16.98,FTSE.GI,1984-01-03,2024-02-26
恒生指数,8.42,7.02,0.86,3.94,4.24,94.85,HSI.HI,1969-11-24,2024-02-26
中盘成长,14.0,7.21,2.4,14.67,2.46,98.68,399374.SZ,2010-01-04,2024-02-27
SEEE碳中和,14.55,7.88,1.96,9.81,2.22,90.72,931755.CSI,2021-10-21,2024-02-27
养老产业,18.86,8.33,1.88,1.95,2.22,97.28,399812.SZ,2014-06-06,2024-02-27
中盘指数(申万),17.28,8.34,1.66,4.56,1.85,92.28,801812.SI,1999-12-30,2024-02-27
CS高端制,26.18,8.49,2.53,11.03,1.3,91.09,930820.CSI,2016-05-11,2024-02-27
SHS云计算,19.8,8.57,3.55,8.03,0.71,94.54,931470.CSI,2020-04-21,2024-02-27
创业板价值,24.66,8.74,2.29,7.34,1.56,98.93,399668.SZ,2013-01-07,2024-02-27
国证2000,34.33,8.74,1.88,3.65,1.31,99.01,399303.SZ,2014-03-28,2024-02-27
有色金属(申万),15.28,9.51,1.95,8.65,1.96,98.97,801050.SI,2003-10-16,2024-02-27
1000价值稳健,16.83,9.61,1.2,2.87,2.85,97.63,931588.CSI,2020-11-09,2024-02-27
全指可选,18.93,9.7,2.21,20.97,2.09,87.54,000989.SH,2011-08-02,2024-02-27
全指通信,21.37,10.07,1.82,13.66,1.89,91.34,000994.CSI,2011-08-02,2024-02-27
深证100,17.26,10.19,2.3,13.02,1.9,97.78,399330.SZ,2006-01-24,2024-02-27
创成长,27.07,10.26,4.58,3.0,0.99,95.46,399296.SZ,2019-01-23,2024-02-27
CS稀金属,13.07,10.27,2.16,0.94,1.96,98.97,930632.CSI,2015-05-12,2024-02-27
深证成长,17.65,10.73,2.77,9.61,1.32,76.82,399346.SZ,2009-11-04,2024-02-27
建筑装饰(申万),8.94,10.75,0.76,2.55,2.49,95.1,801720.SI,2014-02-21,2024-02-27
CS生医,30.95,11.54,4.16,1.01,1.49,98.84,930726.CSI,2015-08-05,2024-02-27
细分有色,15.49,11.94,1.99,13.12,1.96,98.39,000811.CSI,2012-04-11,2024-02-27
化学制药(申万),30.7,12.28,2.47,1.07,0.96,80.57,801151.SI,2003-10-16,2024-02-27
医药生物(申万),25.67,12.81,2.5,0.78,1.36,99.14,801150.SI,2003-10-16,2024-02-27
通信(申万),30.27,12.93,2.23,23.52,1.72,87.48,801770.SI,2014-02-21,2024-02-27
中证有色,15.86,13.28,1.96,9.16,1.9,98.38,930708.CSI,2015-07-13,2024-02-27
中证基建工程,6.82,13.31,0.72,5.83,3.02,92.73,399995.SZ,2015-03-12,2024-02-27
通信设备,25.86,13.37,3.0,23.02,1.51,93.23,931160.CSI,2013-07-15,2024-02-27
全指消费,26.5,13.49,5.17,53.63,2.35,97.73,000990.CSI,2011-08-02,2024-02-27
中证中药,24.31,13.49,2.63,13.26,1.83,92.65,930641.CSI,2015-05-19,2024-02-27
食品饮料(申万),24.47,13.63,5.14,40.9,2.43,96.5,801120.SI,2003-10-16,2024-02-27
CS物流,11.97,13.91,1.25,4.25,3.37,86.24,930716.CSI,2015-07-31,2024-02-27
小盘指数(申万),22.49,13.93,1.58,3.33,1.56,95.81,801813.SI,1999-12-30,2024-02-27
保险Ⅱ(申万),9.03,14.13,0.93,2.93,3.36,88.26,801194.SI,2003-10-16,2024-02-27
通信设备(申万),32.11,14.26,2.89,31.59,0.76,95.93,801102.SI,2003-10-16,2024-02-27
中盘价值,10.82,14.5,1.31,41.27,3.76,93.12,399375.SZ,2010-01-04,2024-02-27
家用电器,15.04,14.88,2.57,4.21,3.06,80.29,930697.CSI,2015-07-07,2024-02-27
龙头家电,13.8,14.97,2.75,15.07,3.31,50.55,980028.CNI,2015-02-16,2024-02-27
中证医疗,30.71,15.04,3.93,0.79,1.69,98.85,399989.SZ,2014-10-31,2024-02-27
50AH优选,8.55,15.33,0.96,6.36,3.65,96.04,950090.CSI,2015-12-10,2024-02-27
A股资源,11.01,15.35,1.53,88.28,4.8,93.36,000805.CSI,2012-01-06,2024-02-27
纺织服饰(申万),21.69,15.73,1.63,3.58,2.78,85.42,801130.SI,2003-10-16,2024-02-27
沪深300非周期,19.22,15.86,2.35,14.79,1.94,92.01,000969.CSI,2010-05-28,2024-02-27
380价值,8.27,15.96,0.98,15.63,4.64,91.94,000118.SH,2011-10-18,2024-02-27
香港中小盘,10.76,16.67,0.86,5.81,4.38,93.26,SPHCMSHP.SPI,2005-12-16,2024-02-27
银行(申万),4.9,16.93,0.48,6.96,5.34,78.13,801780.SI,2014-02-21,2024-02-27
万得300除金融,17.04,17.09,1.98,32.79,2.52,90.67,881007.WI,,2024-02-27
家用电器(申万),13.37,17.13,2.37,11.45,3.11,85.83,801110.SI,2003-10-16,2024-02-27
国证成长,16.02,17.15,2.37,15.79,2.41,97.9,399370.SZ,2010-01-04,2024-02-27
科技100,21.21,17.19,2.7,13.02,1.33,78.56,931187.CSI,2019-05-30,2024-02-27
500等权,21.51,17.45,1.63,6.12,1.88,93.8,000982.SH,2011-06-13,2024-02-27
深证成指,20.35,17.54,2.05,8.67,1.71,92.03,399001.SZ,1995-01-23,2024-02-27
中证500,21.51,17.59,1.63,6.11,1.88,93.81,000905.SH,2007-01-15,2024-02-27
细分食品,25.07,18.57,5.91,46.84,2.44,95.07,000815.CSI,2012-04-11,2024-02-27
稀土产业,28.0,18.72,1.81,8.58,1.08,98.62,930598.CSI,2015-03-02,2024-02-27
中证800,12.51,18.98,1.31,5.12,2.77,91.62,000906.SH,2007-01-15,2024-02-27
疫苗生科,34.78,19.19,3.71,1.28,1.51,98.95,980015.CNI,2015-02-16,2024-02-27
恒生中国企业指数,7.34,19.32,0.76,4.21,3.75,61.43,HSCEI.HI,1994-08-08,2024-02-26
500成长创新,17.2,19.35,1.89,4.62,2.02,87.02,931590.CSI,2020-11-09,2024-02-27
全指医药,30.01,19.47,3.21,4.71,1.46,99.01,000991.SH,2011-08-02,2024-02-27
万得全A,16.46,19.79,1.45,2.52,2.23,95.87,881001.WI,2006-06-14,2024-02-27
美容护理(申万),29.52,19.89,3.35,19.48,1.26,96.75,801980.SI,2021-12-13,2024-02-27
小盘成长,20.64,20.18,1.97,6.22,1.99,98.72,399376.SZ,2010-01-04,2024-02-27
沪深300,11.38,20.59,1.26,7.27,3.03,88.33,000300.SH,2005-04-08,2024-02-27
万得全A(除金融、石油石化),26.04,20.59,2.0,6.31,1.78,98.6,881003.WI,2006-06-14,2024-02-27
机械设备(申万),27.2,20.84,2.09,19.81,1.27,93.2,801890.SI,2014-02-21,2024-02-27
中证生科,40.19,21.79,3.71,1.02,1.43,98.89,930743.CSI,2015-08-26,2024-02-27
消费龙头,22.23,21.93,4.88,41.19,2.61,94.13,931068.CSI,2018-11-21,2024-02-27
CS物联网,29.53,22.19,3.24,14.23,1.23,86.11,930712.CSI,2015-07-31,2024-02-27
大盘指数(申万),12.62,22.23,1.39,3.57,3.12,86.94,801811.SI,1999-12-30,2024-02-27
中证1000,32.56,22.27,1.85,2.56,1.37,98.76,000852.SH,2014-10-17,2024-02-27
风电设备(申万),23.15,22.52,1.27,1.81,1.04,67.3,801736.SI,2021-12-13,2024-02-27
HKC科技(CNY),20.61,22.65,2.59,53.08,0.73,38.02,931573CNY00.CSI,2014-05-21,2024-02-27
中证全指,15.9,23.29,1.43,2.63,2.28,95.65,000985.CSI,2011-08-02,2024-02-27
交通运输(申万),14.59,24.09,1.28,7.04,2.63,87.97,801170.SI,2003-10-16,2024-02-27
医疗保健,38.73,24.15,3.59,0.99,1.83,98.64,h30178.CSI,2013-07-15,2024-02-27
全指能源,10.67,24.3,1.4,91.57,5.56,85.62,000986.SH,2011-08-02,2024-02-27
科技龙头,34.23,24.69,3.31,2.59,1.04,96.75,931087.CSI,2019-03-20,2024-02-27
医药50,26.83,24.85,4.25,2.67,1.48,95.5,931140.CSI,2019-03-20,2024-02-27
公用事业(申万),19.26,24.92,1.49,21.17,2.09,66.47,801160.SI,2003-10-16,2024-02-27
CS高股息,15.06,25.39,2.72,37.31,4.54,97.42,930838.CSI,2016-06-08,2024-02-27
中证金融,6.87,25.64,0.69,5.75,4.09,78.51,000934.SH,2009-07-03,2024-02-27
中证银行,5.16,25.77,0.57,14.83,5.34,78.03,399986.SZ,2013-07-15,2024-02-27
中证消费,26.38,26.01,5.13,44.99,2.4,96.55,000932.SH,2009-07-03,2024-02-27
绩优策略,14.51,26.01,3.93,6.98,3.32,89.66,931067.CSI,2018-02-14,2024-02-27
消费红利,23.53,26.05,5.37,52.47,2.72,93.51,H30094.CSI,,2024-02-27
180金融,6.42,26.83,0.68,12.16,4.6,78.27,000018.SH,2007-12-10,2024-02-27
饮料指数,25.49,27.79,6.42,53.39,2.47,92.65,h30205.CSI,2013-07-15,2024-02-27
中证白酒,25.03,27.8,7.14,44.62,2.5,97.38,399997.SZ,2015-01-21,2024-02-27
通信技术,32.14,28.21,3.24,38.54,0.93,93.66,931144.CSI,2019-05-30,2024-02-27
500质量,14.12,28.27,2.22,48.5,2.42,84.25,930939.CSI,2018-11-21,2024-02-27
全指金融地产,7.16,28.44,0.7,6.71,4.0,78.27,000992.SH,2011-08-02,2024-02-27
物联网50,28.5,28.97,3.27,8.87,1.35,90.72,399285.SZ,2020-02-18,2024-02-27
沪深300周期,7.9,29.08,0.83,15.36,4.41,84.88,000968.CSI,2010-05-28,2024-02-27
深证F120,18.19,29.34,1.77,7.84,2.19,95.21,399702.SZ,2010-05-10,2024-02-27
CS医药创新,26.34,29.38,4.98,10.23,1.4,84.33,931484.CSI,2020-05-06,2024-02-27
航运指数,7.82,29.43,1.19,10.31,7.85,88.29,H30216.CSI,2013-07-15,2024-02-27
MSCI中国A50互联互通,10.13,30.62,1.23,18.26,3.57,94.69,746059.MI,2021-09-17,2024-02-27
新兴科技100,26.01,30.76,4.53,25.69,1.48,90.55,931165.CSI,2019-04-25,2024-02-27
医疗器械,36.77,30.9,3.4,2.55,2.07,98.35,h30217.CSI,2013-07-15,2024-02-27
深证价值,13.41,31.04,1.41,6.48,2.85,79.49,399348.SZ,2009-11-04,2024-02-27
胡志明指数,13.48,31.09,1.61,1.76,2.22,52.92,VNINDEX.GI,2000-07-28,2024-02-26
基本面50,8.11,31.61,0.88,11.24,4.53,80.37,000925.CSI,2009-02-26,2024-02-27
SHS高股息(CNY),5.91,31.86,0.61,23.75,7.86,75.91,930917.CSI,2016-12-28,2024-02-27
上证指数,12.89,31.89,1.25,6.33,2.79,89.35,000001.SH,1991-07-15,2024-02-27
全指信息,48.55,32.4,3.15,9.74,0.89,92.41,000993.SH,2011-08-02,2024-02-27
基础化工(申万),20.11,32.66,1.69,3.21,1.87,71.5,801030.SI,2003-10-16,2024-02-27
5G通信,29.79,32.82,2.98,17.31,1.18,85.86,931079.CSI,2019-04-25,2024-02-27
中国教育,62.19,32.88,3.51,42.41,0.96,54.45,931456.CSI,2020-04-21,2024-02-27
沪深300红利,6.59,32.92,0.73,21.3,5.38,84.66,000821.CSI,2012-07-20,2024-02-27
中证红利,6.62,33.11,0.73,21.41,5.48,81.93,000922.CSI,2008-05-26,2024-02-27
社会服务(申万),45.6,33.24,2.59,0.66,0.51,57.62,801210.SI,2003-10-16,2024-02-27
中证全指运输指数,18.25,33.36,1.29,8.13,2.71,84.39,H30171.CSI,2013-07-15,2024-02-27
国企改革,12.02,33.66,1.37,22.26,3.18,84.03,399974.SZ,2014-08-07,2024-02-27
大盘成长,16.09,33.69,2.47,40.28,2.5,89.42,399372.SZ,2010-01-04,2024-02-27
国证价值,8.26,34.01,0.89,17.35,4.6,86.07,399371.SZ,2010-01-04,2024-02-27
MSCI中国A股国际通实时(人民币),12.03,34.07,1.29,9.45,2.83,84.69,716567.CSI,2017-10-23,2024-02-27
国企一带一路,12.34,34.53,1.68,63.4,3.1,62.39,000859.CSI,2019-05-16,2024-02-27
大盘价值,7.38,34.73,0.81,20.27,5.06,85.46,399373.SZ,2010-01-04,2024-02-27
全指材料,18.13,34.77,1.55,2.31,2.23,95.7,000987.SH,2011-08-02,2024-02-27
红利低波,6.11,34.89,0.68,26.08,5.59,73.76,h30269.CSI,2013-12-19,2024-02-27
上证180,10.22,35.11,1.11,7.03,3.47,85.81,000010.SH,2002-07-01,2024-02-27
TMT50,34.5,35.43,2.9,7.15,1.16,86.4,399610.SZ,2010-11-08,2024-02-27
非银金融(申万),15.04,35.75,1.08,2.92,2.05,77.47,801790.SI,2014-02-21,2024-02-27
CS创新药,38.45,35.94,3.09,1.7,1.13,98.13,931152.CSI,2019-04-22,2024-02-27
红利低波100,6.41,36.43,0.67,27.02,5.02,66.71,930955.CSI,2017-05-26,2024-02-27
CS智汽车,39.42,36.49,3.04,5.87,0.72,70.38,930721.CSI,2015-08-05,2024-02-27
券商Ⅱ(申万),20.62,36.96,1.18,7.66,1.4,53.07,801193.SI,2003-10-16,2024-02-27
300非银,15.17,37.18,1.2,4.01,2.35,83.95,h30035.CSI,2012-12-21,2024-02-27
AH经济蓝筹,12.41,37.28,1.33,8.42,2.83,86.82,931134.CSI,2019-03-20,2024-02-27
轻工制造(申万),26.35,37.97,1.7,10.54,1.79,99.26,801140.SI,2003-10-16,2024-02-27
茅指数,18.38,38.13,3.27,33.57,2.16,73.58,8841415.WI,,2024-02-27
300价值,7.84,38.37,0.85,19.52,4.75,84.72,000919.CSI,2008-01-21,2024-02-27
全指价值,7.75,38.39,0.84,23.3,4.85,85.57,000058.SH,2010-01-04,2024-02-27
300成长,14.3,39.15,2.39,42.97,2.21,85.13,000918.CSI,2008-01-21,2024-02-27
综合(申万),42.73,39.58,1.2,1.07,0.43,60.13,801230.SI,2003-10-16,2024-02-27
CS计算机,52.84,39.69,3.53,7.25,0.88,89.47,930651.CSI,2015-06-05,2024-02-27
红利质量,19.3,39.87,4.73,72.14,2.9,81.17,931468.CSI,2020-05-21,2024-02-27
商贸零售(申万),27.0,39.99,1.53,23.85,1.4,75.74,801200.SI,2003-10-16,2024-02-27
石油石化(申万),15.73,40.21,1.29,13.26,4.15,81.88,801960.SI,2021-12-13,2024-02-27
电子(申万),41.8,40.53,2.38,4.08,0.79,75.45,801080.SI,2003-10-16,2024-02-27
中证传媒,35.73,40.63,2.1,12.53,1.85,86.51,399971.SZ,2014-04-15,2024-02-27
央企创新,12.5,41.05,1.33,90.71,3.35,69.45,000861.CSI,,2024-02-27
中特估指数,8.26,41.13,0.89,39.61,4.24,75.23,8841681.WI,,2024-02-27
中证央企红利,6.78,41.13,0.74,25.97,4.91,59.9,000825.CSI,,2024-02-27
细分化工,20.59,41.24,2.07,16.82,1.82,81.49,000813.CSI,2012-04-11,2024-02-27
小盘价值,15.07,41.68,1.05,7.13,3.29,86.86,399377.SZ,2010-01-04,2024-02-27
传媒(申万),36.78,43.08,2.31,26.77,1.49,86.29,801760.SI,2014-02-21,2024-02-27
中证移动互联,39.89,43.72,2.91,2.3,1.08,86.15,399970.SZ,2014-05-05,2024-02-27
上证50,9.87,43.8,1.13,11.34,3.97,86.61,000016.SH,2004-01-02,2024-02-27
全指公用,18.46,43.88,1.78,60.63,2.3,31.8,000995.CSI,2011-08-02,2024-02-27
煤炭(申万),10.06,44.42,1.56,78.01,6.8,91.64,801950.SI,2021-12-13,2024-02-27
科创50,45.03,45.89,3.6,3.01,1.04,96.51,000688.SH,2020-07-23,2024-02-27
港股通高股息(CNY),5.09,45.95,0.49,44.33,8.45,70.37,930915.CSI,2016-11-25,2024-02-27
房地产(申万),12.13,46.71,0.66,0.74,2.36,50.0,801180.SI,2003-10-16,2024-02-27
180价值,7.58,46.82,0.82,22.44,4.99,82.98,000029.SH,2009-01-09,2024-02-27
500SNLV,19.2,47.87,1.36,25.12,2.25,75.91,930782.CSI,2016-02-04,2024-02-27
深证F60,18.82,48.45,1.87,13.98,2.23,86.55,399701.SZ,2010-05-10,2024-02-27
建筑材料(申万),16.57,48.48,1.12,0.58,2.83,89.46,801710.SI,2014-02-21,2024-02-27
印度孟买SENSEX30,23.18,49.02,3.46,86.44,1.12,19.35,SENSEX.BO,1986-01-01,2024-02-26
计算机(申万),57.57,50.0,3.04,8.69,0.65,87.93,801750.SI,2014-02-21,2024-02-27
智能电车,18.28,50.29,2.97,55.96,1.15,41.71,H11052.CSI,2009-07-22,2024-02-27
机器人,51.48,50.45,3.56,39.67,0.69,64.15,H30590.CSI,2015-02-10,2024-02-27
CS智消费,24.63,50.83,2.59,8.23,1.69,77.24,930648.CSI,2015-06-05,2024-02-27
证券公司,22.04,51.24,1.29,11.64,1.34,42.98,399975.SZ,2013-07-15,2024-02-27
金融科技,53.14,51.35,3.54,6.53,0.69,83.81,930986.CSI,2017-06-22,2024-02-27
中证2000,59.5,51.54,1.94,12.31,1.02,85.38,932000.CSI,2023-08-11,2024-02-27
500价值稳健,13.17,53.06,1.18,69.54,3.42,56.43,931587.CSI,2020-11-09,2024-02-27
深证红利,16.06,55.17,1.52,2.19,3.0,83.75,399324.SZ,2006-01-24,2024-02-27
ESG120策略,10.09,55.43,1.15,15.11,3.53,77.93,931476.CSI,2020-04-30,2024-02-27
CSSW证券,21.84,55.49,1.29,11.78,1.4,44.18,399707.SZ,2015-04-16,2024-02-27
CS电子,43.33,55.52,3.06,14.51,0.97,77.48,930652.CSI,2015-06-05,2024-02-27
全指成长,13.33,55.93,2.07,51.22,2.95,84.79,000057.SH,2010-01-04,2024-02-27
中证煤炭,10.66,56.13,1.74,95.9,6.89,90.52,399998.SZ,2015-02-13,2024-02-27
钢铁(申万),21.42,56.55,0.89,11.33,2.21,48.02,801040.SI,2003-10-16,2024-02-27
国证芯片,73.41,56.7,3.78,3.56,0.25,54.6,980017.CNI,2015-02-17,2024-02-27
500成长估值,16.26,57.38,2.09,55.95,1.7,47.94,930938.CSI,2018-12-04,2024-02-27
农林牧渔(申万),47.41,57.7,2.5,2.55,1.13,72.03,801010.SI,2003-10-16,2024-02-27
消费电子,37.18,58.62,2.55,3.45,1.17,82.98,931494.CSI,2020-06-12,2024-02-27
汽车(申万),24.56,58.65,2.04,31.88,1.22,16.47,801880.SI,2014-02-21,2024-02-27
养殖业(申万),54.99,60.07,2.98,9.29,1.12,46.18,801017.SI,1999-12-30,2024-02-27
绿色电力,19.36,60.51,1.89,71.56,2.19,19.54,399438.SZ,2014-12-30,2024-02-27
万得小市值指数,119.03,60.72,1.87,5.44,1.07,93.89,8841425.WI,2010-12-31,2024-02-27
中证全指电力指数,19.56,60.75,1.77,63.86,2.17,18.59,h30199.CSI,2013-07-15,2024-02-27
恒生医疗保健,46.28,62.96,1.74,0.62,1.23,73.33,HSHCI.HI,2015-08-17,2024-02-26
人工智能,51.96,63.27,3.72,11.82,0.74,74.63,931071.CSI,2014-12-31,2024-02-27
300质量低波,11.77,64.92,1.64,64.34,3.31,49.42,931375.CSI,2019-11-25,2024-02-27
建筑材料,20.75,65.06,1.0,0.74,2.79,82.96,931009.CSI,2013-07-15,2024-02-27
中证半导,77.68,65.55,4.0,18.93,0.24,36.28,931865.CSI,2016-12-30,2024-02-27
智能制造,34.21,66.16,3.07,17.7,1.12,51.87,930850.CSI,2016-07-20,2024-02-27
中证体育,51.73,68.69,2.61,8.14,1.47,82.95,399804.SZ,2015-02-09,2024-02-27
1000成长创新,32.5,69.16,2.98,6.24,1.28,95.26,931591.CSI,2020-11-09,2024-02-27
国证钢铁,22.61,69.85,0.88,4.76,2.49,47.93,399440.SZ,2014-12-30,2024-02-27
软件指数,105.13,73.0,4.04,4.16,0.55,93.36,h30202.CSI,2013-07-15,2024-02-27
中证全指半导体,95.47,73.09,3.95,42.62,0.3,68.81,h30184.CSI,2013-07-15,2024-02-27
中证农业,34.33,73.66,2.37,1.73,1.63,64.91,000949.CSI,2009-10-28,2024-02-27
300红利LV,7.7,74.07,0.84,52.35,4.37,51.63,930740.CSI,2018-12-04,2024-02-27
电子50,37.67,74.94,3.04,16.64,1.08,78.8,931461.CSI,2009-07-22,2024-02-27
CS人工智,63.44,76.13,3.98,20.01,0.68,76.18,930713.CSI,2015-07-31,2024-02-27
云计算,80.67,76.56,3.91,61.67,0.43,35.52,930851.CSI,2016-07-20,2024-02-27
180成长,15.6,76.83,2.82,67.2,2.62,82.28,000028.SH,2009-01-09,2024-02-27
韩国综合指数,19.44,77.29,0.96,52.27,1.82,50.95,KS11.GI,1980-01-04,2024-02-26
数字经济,51.16,77.4,4.25,3.87,0.62,59.8,931582.CSI,2020-11-09,2024-02-27
中证100,12.85,77.51,1.53,67.17,3.16,85.17,000903.SH,2006-05-29,2024-02-27
纳斯达克100,33.94,82.55,8.62,89.9,0.59,8.15,NDX.GI,1985-02-01,2024-02-26
日经225,22.55,82.74,2.11,96.95,1.53,14.69,N225.GI,1949-05-16,2024-02-22
标普500,25.78,83.19,4.59,95.31,1.35,9.94,SPX.GI,1957-03-04,2024-02-26
中证钢铁,36.74,84.57,0.87,2.68,2.32,43.04,930606.CSI,2015-03-31,2024-02-27
标普500医疗,31.68,86.21,5.54,95.35,1.55,20.79,S5HLTH.SPI,1996-06-28,2024-02-26
道琼斯工业指数,26.36,87.84,6.6,88.51,1.41,1.47,DJI.GI,1899-12-31,2024-02-26
动漫游戏,272.84,89.29,2.71,46.98,1.25,80.78,930901.CSI,2016-10-18,2024-02-27
中证畜牧,62.87,91.75,2.64,2.63,1.34,51.45,930707.CSI,2015-07-13,2024-02-27
农牧渔,68.39,91.91,2.46,10.23,1.41,71.15,930910.CSI,2016-12-12,2024-02-27
中韩半导体,64.45,92.26,3.49,6.23,0.26,54.44,931790.CSI,2021-12-20,2024-02-27
标普500信息技术,37.32,93.23,11.22,95.22,0.7,0.0,S5INFT.SPI,1996-06-28,2024-02-26
芯片产业,96.37,93.39,3.83,40.43,0.24,28.17,H30007.CSI,2012-12-20,2024-02-27
中证旅游,51.34,94.78,2.28,4.9,0.23,4.67,930633.CSI,2015-05-08,2024-02-27
科创芯片,122.65,95.19,3.99,9.62,0.24,64.66,000685.SH,2022-06-13,2024-02-27
猪产业指数,79.26,96.77,3.14,11.05,1.98,71.48,884251.WI,2015-12-31,2023-10-27
中证全指房地产,393.81,96.99,0.66,0.0,2.48,53.57,931775.CSI,2013-07-15,2024-01-19
鸡产业指数,106.48,97.56,2.77,26.08,1.01,25.14,884252.WI,2015-12-31,2024-02-27
